Company Name,Emails
BERLE FARM,
WATAUGA FALLS MARKET,
LEAF ME BE,
BOICES FARM,
MARTIN GILBERT GREENHOUSE,
MARBRI NURSERY LLC,
WENGERD NOAH,
DAISY GARDEN CORP,
TAIDA ORCHIDS NY INC,
ENGELS ACRES,
5 CORNERS GREENHOUSE,
OAK HILL GREENHOUSE,Filedvia@wvva.com
ROSEDALE NURSERIES INC,
GROUNDWORKS LANDSCAPING INC,design@groundworkslandscaping.com
ADK GROWERS LLC,
DREAMING GREEN NURSERY,
PETAL CREEK FARM LLC,
J&E GREENHOUSE,jkochosc@gmail.com
LAUREL GROVE GREENHOUSE LLC,
ALAN FRANKES NURSERY,
VERDERBER LANDSCAPE NURSERY INC.,VERDERBERINFO@GMAIL.COM
MARK MOSKOWITZ LANDSCAPE DESIGN,INFO@UNLIMITEDEARTHCARE.COM
PINE ROSE FARM LLC,
LAKESIDE SOD SUPPLY CO IN,
FINKS COUNTRY FARM INC,
DOUBLE A VINEYARDS INC,
ZIMMERMANS HOMEGROWN PRODUCE,536-3028jerehorning@hotmail.com
HICKORY HOLLOW LANDSCAPERS LTD,
ORNAMENTAL PLANTINGS GREENHOUSE,
HEAVEN SENT FARM,
JIM STAKEY GREENHOUSES LLC,
PEAT & SON CORPORATION,
"ZINO NURSERIES AND LANDSCAPING, INC",
ZUKE ACRES LLC,
EWECASTLE,
CHARIS MEADOW FARM,sweetmeadowsinc@gmail.com
WAYSIDE FARMS,
LOCAL ROOTS FARM,
STONE BROTHERS,
CANAAN GENERALSTORE LLC,
YOUNG HICKORY FLOWER FARM INC,
GARDENIA DESIGNS LANDSCAPING INC,Info@GreenScapesGardenCenter.com
FLOWERING MDOW NRS INC,
COUNTRY FLOWERS GIFTS & GOODIES INC,
LA CORTES FARMSTAND,
SCENIC HILL GREENHOUSE,info@shadyhillgreenhouses.com
TNT GREENHOUSES,
BOBS TREES,bobstrees1227@gmail.com
ZIMMERMAN CHRISTIAN,
RICHARD VANDERWALKER,
GOSSETT BROTHERS NURSERY,gossettnursery@gmail.com
CHEEVER COUNTRY GARDENS,
BITTERSWEET FARM,milkweedtussocktubers@gmail.com 7245bittersweetfarm.bennett@gmail.com
WHITMORE NURSERIES INC,
BACK YARD GREENHOUSE,claims@lavocatsnursery.com info@lavocatsnursery.com
PARMELEE FARMS INC PULLYS FARM MKT,
MONUMENT MOUNTAIN FARMS LLC,
MILL POND EVERGREEN NURSERY,
WILLY NILLY GARDENING LLC,
ERIE WAY TREE FARM,
MOUNTAIN VIEW HANDCRAFTED GIFTS AND THINGS LLC,
VANBUREN ENTERPRISES,
MORRIS HEMP,
ROCKEFELLER RANCH LLC,
W3WORKS,
AMOS ZITTEL &SONS INC,
RUSSELLS TREE & SHRUB FARM LLC,
WEGMANS #156,
HILLTOP NURSERY & GARDEN CENTER,
FARMIRS FLOWERS,
BMM FARMS LLC,
AUDRA MACCOLLUM,associate-thiptida-chatham@archive.org
CUMMINS NURSERY/INDIAN CREEK FARM,CUMMINSNURSERY@GMAIL.COM
"SMOKING LIZARD, LLC",foliagegarden@aol.com
C&J FARMS & GREENHOUSE LLC,
STARKIE BROS GARDEN CENTER,info@starkiebrothers.com
JOSEPH HEBERLE FARMS,
SHAQDIS BOOKS & MARKETPLACE INC,
WERNER FARMS,
LOCUST GROVE PRODUCE,
CLARKS LAVENDER FARM,info@clarkesgarden.com
KENNETH J LINDSTROM,redbarnxmasfarm@aol.com aprime@roadrunner.com
CLEATUS FARMS INC,
VALLEY VIEW GREENHOUSE,info@valleyviewgardens.com
NORTHERN DUTCHESS BOTANICAL GARDENS,
ALLEN Z ZIMMERMAN,chris@sunsparklersedums.com
FROSCHAUERS GREENHOUSES,
NATURAL BRIDGE FARM,naturalbridgefarm@yahoo.com
MAPLE RIDGE ENTERPRISES,mapleridge7220@gmail.com
SLATER FARM,
NFK ENTERPRISES,
BOUTONS GREENHOUSES,srl@spruceridgelandscape.com madison@cornell.edu
HILLTOP GREENHOUSE,
BUTTENSCHON TREE FARM,
NG GROWERS INC DBA NANTICOKE GARDENS,
CONSTANTINE CONST AND FARM INC,laura@ccfrm.com
BOCES ERIE-CATTARAUGUS LOGUID ED CTR,CMarx@e2ccb.org JPagan@e2ccb.org
PALMITERS GARDEN NRSY,
NAHE LLC,
LUMBER AND SALT,us.brooke@mazurandco.com
SCHICHTELS NURSERY INC,14141info@schichtels.com
FIG,
CAROL WATSON GREENHOUSE & LANDSCAPING INC,
LAMAYS TREE SERVICE INC,
EMMAS GARDEN GROWERS INC,roots@hometownflowerco.com
ALEX FARM/ JERSEY FARM PRODUCE INC,
SHADE TREES NURSERY INC,info@shadetreesnursery.com
YULE TREE FARMS,Dan@StutzmanFarms.net
HOOVER MAHLON & MARTHA,
LEE'S EGG FARM 2 LLC,jessica@sierraflowerfarm.com
JUNIORS DESIGN AND BUILD FIRM,
SAN DAMIANO FARM,info@atonementfriars.org
SUNNY MEADOWS GREENHOUSE,
ZUHOSKI FARMS,Farmszuhoskifarm@gmail.com
STONEY CREEK NURSERY,Cindy@stoneycreeknursery.com
TRIPLE P FARMS LLC,CustomerService@BataviaNews.com
SHAOLIN GALORE EXOTICS,
FINCH FARM,
DABS LANDSCAPING LLC,399-2404shop@kulaksnursery.com
MCENROE ORGANC FARM,b@r.hM
AUGUSTINE BROS CORP,info@AugustineNursery.com
ERWAY FARMS LLC,
DECKER PAMELA,
COCOEDGE INC,hicksinfo@hicksnurseries.com
SEED SONG FARM & CENTER,
MYSTIC FARM,
LAKESIDE SOD SPLY CO IN,turf@lakesidesod.com
GRANDPAS NURSERY & GARDEN INC,
DALESSANDROS NURSERY & LANDSCAPING,
CLAIRES GARDEN CENTER,
PIKES GREENHOUSE,
SIBIGA NURSERY FARM,
PATRIOT GARDENS,
MARIANNE ZIMMERMAN,chris@sunsparklersedums.com
MARCOS DIEGO FLOWERS,
GRASSE RIVER HEMP,info@slcchamber.org
GARDEN OF EVE LLC,
L & M GREENHOUSES,
HOLLOW CREEK FARMS INC,
WOODCHUCK MEADOWS NURSERY & GREENHOUSE,
HILLTOP GREENHOUSE,hello@hilltopgreenhousea2.com
BEDS & BORDERS INC,
HILLCREST GARDENS,
COPIA MARKETS CORPORATION,
WALSH MIKE & SONS GREENHOUSES INC,
DEBUCKS SOD FARM OF NY,debucksod@gmail.com
JOHNSTONE FLORIST,
LINDA J HAHN,
MOUNTAIN VIEW GARDENS,
DECORATIVE GARDENS INCORPORATED,
LORIS LNDSCP&PERENNIAL,
SEGUIN FAMILY FARM,jim@adirondackexplorer.org
CURDIES CREATIONS,news@pressrepublican.com
D&J BRAWDY FARMS INC,
STARR NURSERY LLC,greg@starr-nursery.com
A J TEETER FARM,AJTeeterFarm@msn.com ajteeterfarm@msn.com
BRIARCLIFF SOD INC,
HIDDEN VIEW GREENHOUSE,
JOES PLANT SHACK,srl@spruceridgelandscape.com madison@cornell.edu
HORST FARM MARKET,seneca@cornell.edu
DAVIS STELLA,
MILL POND EVGRN NUR,
DOUBLE A VINEYARDS INC,
MARKRISTO FARM,
WORTH EVERY PENNY LLC,info@bqlt.org
SUNNY GARDEN GREENHOUSES,
T J MART INC,
DEFISHER GREENHOUSES,
DOUG-MAR FARMS,nrcrep@nrc.gov FR0054@ustr.gov oha@sba.gov TSCA-Hotline@epa.gov mcondray@lsc.gov elsa.deleon@usda.gov rdyson@fs.fed.us dfars@acq.osd.mil juli.trtanj@noaa.gov Wayne_Eddins@hud.gov dmotsiopoulos@cms.hhs.gov Karen_F._Lee@omb.eop.gov thomas.dean@ferc.gov quinto.rose@epa.gov environment@mms.gov shart@acdl.com clee@hrsa.gov rescatell@fs.fed.us acresnan@serv.net SomersK@cder.fda.gov ferconlinesupport@ferc.gov Sheila.Carey@ed.gov pmpl@alaska.net prem.srivastava@science.doe.gov driscoll.barbara@epa.gov vince.yearick@ferc.gov OCIO_RIMG@ed.gov pandor.hadjy@usda.gov pdr@nrc.gov SIZESTANDARDS@sba.gov tlinkowich@cms.hhs.gov FERCOnlineSupport@ferc.gov kirk.baker@faa.gov jpaulson@mnpower.com FR0053@ustr.gov tobin.paul@epa.gov sharon_gross@fws.gov OpportunityinAthletics@ed.gov Janet.M.Hart@usda.gov mjm3@nrc.gov irma.dupree@noaa.gov diane.murray@ferc.gov sharon.betson@science.doe.gov Patricia.Selvaggi@ny.frb.org HelpDesk@e-center.doe.gov irma.duPree@noaa.gov Kay.Peterson@aphis.usda.gov nprm@atfhq.treas.gov Paperwork@hcfa.gov
MAJOR BLOSSOM FARM LLC,
COASTAL GREENHOUSES LLC,srl@spruceridgelandscape.com madison@cornell.edu
CHAMPLAIN PEONY COMPANY,orders@champlainpeonycompany.com
HOMEGROWN NURSERIES AND FARM LLC,lyndhurst@savingplaces.org
DEADHEAD FARMS,deadheadfarmsny@gmail.com
SANDY'S GARDEN CENTER,Info@daytonflowerandgarden.com info@daytonflowerandgarden.com
ARTHUR'S GREENHOUSE,essex@cornell.edu
BUTTERFLY EFFECT,
PLEASANT VALLEY FLOWERS,Flowerspvflowers146@gmail.com
SUNRISE FARM,talltreefloraldesigns@gmail.com
JUNIPER HILL FARM,juniperhillfarm@gmail.com
WILLIAMS FRUIT FARM,ask-me@agi.alabama.gov
PRIANTI FARMS INC,
ROBINSON GARDENS,
BLAKE TOM VEHICLE,info@urbanroots.org
PETALS N POTS GRNHOUSES,associate-camela-sevilla@archive.org
DAVES VEGGIES & GREENHOUSES,
GUIGNARDS GREENHOUSES,info@millersmeatmarketny.com
POTT'D,
STONEY LONESOME FARM LLC,seneca@cornell.edu
ROEMER FARMS LLC,
LANSINGS FARM,
ROCKCREST GARDENS INC,
NATURAL LANDWORKS,
MONROE DEPT OF PARKS,markquinn@monroecounty.gov
CHICKADEE VALLEY FARM LLC,chickadee7@frontiernet.net
BALET FLOWERS & DESIGN LLC,
ADS LANDSCAPES INC,info@gardencenter.net
VERONICAS GARDENS,
KNOWN SOURCE LLC,
MERCANTILE GREENHOUSE,
NNY WINDY ACRES NURSERY INC,
LAKESIDE SOD SPLY CO IN,
PANEKS PICKIN PATCH,
ROSE HILL HOUSE FARMS,rosehillnursery@aol.com
SUMMERTIME BLOOMS,ocs1583@aol.com
TWIN PINE GREENHOUSE,info@orleanscountytourism.com
CENTURION FARM LLC,web-accessibility@cornell.edu
JAY W GUILD WHOLESALE GROWER,
WEINHEIMER FARMS,
OUTLANDERS,
JENKINS & LUEKEN ORCHARDS,
DEHNS FLOWERS INC,
ADIRONDACK NATURALS,
RAYMOND Z NOLT,claims@lavocatsnursery.com info@lavocatsnursery.com
PRISTINE ACRES,
PERFECTLY BLENDED FARM,
THE NATURAL WAY ORGANIC LANDSCAPING INC,
ELI B MARTIN,
BUCKLEYS FLOWER SHOP IN,
SUNFROST FARMS INC,matt@sunfrostfarms.com
SCHICHTELS NURSERY INC,14141info@schichtels.com
PARDIS PLANTS DBA FOLIAGE GARDEN,
CREEK SIDE GREENHOUSE,
MICHALEEN'S FLORIST & GREENHOUSE,
BONSAI BOY,
ORLOPS GREENHOUSE,
INTERNATIONAL BONSAI ARBORETUM,
ALMOSTA FARM,info@thefarmgv.com
CHERRY VALLEY GRHSE,
GOODNESS GARDENS INC,
BAXTERS TREE FARM LLC,Griebelbaxtree@frontiernet.net
"MISS PERRY FARMS, LLC",
DELALIO SOD FARMS LLC,
E LOPEZ NURSERY,trimbles@optonline.net
LINCOLN PARK NURSERY LLC,
CORALS CORNER AND CONES,
PLANTS UNLIMITED LLC,594-7754info@plants-unlimited.com
WIEMER HERMANN J-VNYARD,
SUNRISE FIELDS FARM,Usflowerhillfarmny@gmail.com
PRESTONS GARDEN CENTER INC,
MATRAZZO FLORIST INC,dsalvadorefh@msn.com
WAYSIDE GARDEN CENTER,
BROOKSIDE NURSERY,claims@lavocatsnursery.com info@lavocatsnursery.com
HOMESPUN TREASURES,
ANDERSONS PRODUCE,
RIVERMEDE FARM,
WARRENS NURSERY INC - GROW,
M&M PRODUCE,
NATURAL LANDWORKS,
VELESKO JERRY W,
"INVINCIBLE SUMMER FARMS, LLC",steph@invinciblesummerfarms.com
SCARBOROUGH FIELDS & FLOWERS,sales@scarboroughfields.com
CONSUMER SALES INC,
NORWICH MEADOWS FRM LLC,info@leepub.com
ALLENWAY ACRES,
HANNEN MICHAEL,
HARGRAVE FARMS,genwayland@aol.com
PINESBRIDGE NURSERY,
BLOOMS BY BOGNER,
SCHLECHT NURSERY INC,Robert@SchlechtNursery.com Donna@SchlechtNursery.com
PHILLIP HAYES,
BRADY CO-DISTINCT LANDSCAPE INC,
MICHAEL & SONS NURSERIES INC,
GARDEN BARN THE,info@gardenbarn.com
MAPLEHORST FARM NURSERY INC,
MOCKINGBIRD BELL LLC,
HOEFFNER FARMS,
RESTORATION FARM,
GULLOS GARDEN CENTER LLC,
FANTASTIC GARDENS OF LI INC.,
ELHANNON NURSERY INC,
SISTER ROOTS TREE FARM,
VANDERZALM JOHN,
SMITTY'S NURSERY AND LANDSCAPE INC,colleen@smittyscapes.com
DELANEY FARMS,
HIGHWINDS FARM,campbellnursery@bellsouth.net
MATHIS MERCANTILE,
HOLLOW WINDS FARM,
GARDEN TIME INC,
MAINTENANCE MAN LANDSCAPING INC,
THE VIOLET BARN,
FISH FRM MKT&GREENHOUSE,
TROYERS,
MAPLE RIDGE CENTER,
RADLIFF HOLLOW FARM,
ONE NATURE LLC,12508info@onenaturellc.com
SCHOHARIE VALLEY FARMS LLC,
MARCUS & LORRAINE ZIMMERMAN,
M. MEGLIO FARMS LLC,
ETCETERA FARM LLC,info@thefarmgv.com
MAIURANOS FLOWERS,
RIVER RUN TREE FARMS,
LUCULE LLC DBA BEAR CREEK FARM,info@bearcreekfarm.com
BEYOND YOUR GARDEN CORP,info@beyondyourgarden.com info@BeyondYourGarden.com
MARCUS & LORRAINE ZIMMERMAN,
PEDRICKS GLASS GARDENS INC,scotts@scottsnursery.nb.ca
JON-LIN FARM,
EARSING GREENHOUSE LLC,
JUDYS FRUITS VEG FLWRS,
GABRIELSEN FARMS LLC,
HOMEGROWN DESIGNS LTD,
SUNNYVILLE FARMS,contactus@sunnyvf.com
RAY SMITH & ASSOCIATES,
HECTOR HOT PEPPERS,contact@hectorhotpeppers.com
GREENBELT NATIVE PLANT CENTER PROPOGATION NURSERY,
BUTTERNUT RIDGE FARM,
HANIYA RAE,
ORION NURSERY,
VAN COTT J NURSERIES,
RUFF ACRES ROADSIDE MARKET,dacf@maine.gov
MEL NICOTRA INC,
PINE VALLEY FARMS,
FUNKES FLOWERS,
EVERLASTING SPRING GARDEN CENTER LLC,
LAKEVIEW GARDENS,
SCHERER STEPHEN,
VALS COUNTRY CREATIONS,
LASTING DREAMS ENTERPRISES,LastingDreamsEnterprises@verizon.net 648-4920LastingDreamsEnterprises@verizon.net
QUERNER FAMILY FARM LLC,
EAST BRANCH ORGANICS,
CRITTER HAVEN FARM,ask-me@agi.alabama.gov
